date	people	ceremony_type	user_id	msg_id
09-30-2023	140	Γάμος	87	183c0daf2784a39a
29-07-2023	150-200	ΓΑΜΟ	88	183bd2c7659e1721
07-29-2023	200	Γάμο	88	183bd2641e8138ab
06-03-2023	350	Γάμος	89	183bc7c92ce0eb62
09-09-2023	200	Γάμο	90	183bc037e50c4f01
08-07-2023	160	ΓΑΜΟ	91	183bc01f2c1e3900
27-05-2023	450	ΓΑΜΟ	92	183b86abf369d9ad
09-09-2023	170	ΓΑΜΟ	93	183b86a62a1439f9
23-06-2023	400	ΓΑΜΟ	94	183b8684b101affb
06-10-2023	200	Γάμος	95	183b79eda846b69b
10-06-2023	180	Γάμος	96	183b3d959670990b
09-09-2023	200	Γάμος	90	183b212161f1bce0
12-09-2023	250	Γάμος	97	183b0d0731e54b4d
09-09-2023	170	Γάμος	93	183ada8f02a4435d
30-09-2023	130	ΓΑΜΟ	98	183ad45a37d36f13
23-09-2023	300	ΓΑΜΟ	99	183ad444238ff7d7
16-09-2023	200	ΓΑΜΟ	100	183ad41da072efe3
09-23-2023	300	Γάμο	99	183ad41a3cbbe58d
09-30-2023	200	Γάμο	100	183ad40f1a8ab423
09-23-2023	250	Γάμος	99	183acee670cdbbc3
09-30-2023	130	Γάμος	87	183ac874fbf115e2
07-29-2023	180	Γάμος	88	183a9d044cc570e5
25-08-2023	150	ΒΑΠΤΙΣΗ	101	183a845adc21e967
07-08-2023	200	Γάμο	102	183a8454985bb837
10-05-2202	1	Γάμος	67	183a82167e32ae99
02-07-2023	180	ΓΑΜΟ	103	183a7e5c7132a268
13-05-2023	250	ΓΑΜΟ	104	183a7d722cf55be8
07-07-2023	200	Γάμο	105	183a7d6f1989dc97
09-09-2023	300	ΓΑΜΟ	106	183a7d5ae6ff65b0
21-04-2023	450	ΓΑΜΟ	107	183a7d186f34a917
11-05-2024	200	ΓΑΜΟ	108	183a7d0e64710dad
29-07-2023	300	ΓΑΜΟ	109	183a7cdc44a25b0c
27-05-2023	100	ΓΑΜΟ	110	183a7ccb068f0bff
03-06-2023	220	ΓΑΜΟ	111	183a7cc55876ff8f
30-09-2023	130	ΓΑΜΟ	98	183a7cc02b9c7c1c
13-05-2023	200	ΓΑΜΟ	112	183a7cbbc968cccd
	400	ΓΑΜΟ	113	183a7cb4db303084
01-09-2023	200-250	ΓΑΜΟ	114	183a7c842caadcdb
03-06-2023	100	ΓΑΜΟ	115	183a7c7fa3ff2c99
16-09-2023	200	ΓΑΜΟ	97	183a7c6edb5ec5e3
15-07-2023	250	ΓΑΜΟ	116	183a7c613c39b39f
05-13-2023	250	Γάμος	104	1839fa0b0b54f4f4
07-22-2023	200	Γάμος	117	1839f04208eaef9f
09-09-2023	300	Γάμος	90	1839ed8541b4ef8a
